Definition,Meaning
assistance,yardım
assumption,varsayım
assurance,güvence
assure,garanti etmek
astonishing,şaşırtıcı
asylum,iltica
atrocity,gaddarlık
attachment,EK
attain,ulaşmak
attendance,katılım
attorney,avukat
attribute,bağlanmak
auction,açık arttırma
audio,ses
audit,denetim
authentic,otantik
authorize,yetki vermek
auto,Oto
automatic,otomatik
automatically,otomatik olarak
autonomy,özerklik
availability,kullanılabilirlik
await,beklemek
awareness,farkındalık
awkward,garip
backdrop,zemin
backing,destek
backup,destek olmak
badge,rozet
bail,kefaletle ödemek
balanced,dengeli
ballet,bale
balloon,balon
ballot,oy pusulası
banner,afiş
bare,çıplak
barely,neredeyse
bargain,pazarlık
barrel,varil
basement,bodrum
basket,sepet
bass,bas
bat,yarasa
battlefield,savaş alanı
bay,koy
beam,kiriş
beast,canavar
behalf,adına
beloved,sevgili
bench,Bank
benchmark,kalite testi
beneath,altında
beneficial,yararlı
beneficiary,yararlanıcı
beside,yanında
besides,Ayrıca
betray,ihanet etmek
bias,ön yargı
bid,teklif etmek
bind,bağlamak
biography,biyografi
biological,biyolojik
bishop,piskopos
bizarre,tuhaf
blade,bıçak ağzı
blanket,battaniye
blast,büyük patlama
bleed,kanama
blend,karışım
bless,korusun
blessing,nimet
blow,üflemek
boast,övünme
bold,gözü pek
bombing,bombalama
bonus,bonus
booking,rezervasyon
boom,Boom
boost,artırmak
bounce,sıçrama
bound,ciltli
boundary,sınır
bow,yay
breach,çiğneme
breakdown,bozulma
breakthrough,atılım
breed,yavrulamak
brick,tuğla
briefly,kısaca
broadband,geniş bant
broadcaster,yayıncı
broadly,genel olarak
browser,tarayıcı
brutal,vahşi
buck,dolar
buddy,ahbap
buffer,tampon
bug,böcek
bulk,toplu
burden,yük
bureaucracy,bürokrasi
burial,cenaze töreni
burst,patlamak
cabin,kabin
cabinet,kabine
calculation,hesaplama
canal,kanal
candle,mum
canvas,tuval
capability,kabiliyet
capitalism,kapitalizm
capitalist,kapitalist
carbon,karbon
cargo,kargo
carriage,taşıma
carve,oymak
casino,kumarhane
casual,gündelik
casualty,zayiat
catalogue,katalog
cater,karşılamak
cattle,sığırlar
caution,Dikkat
cautious,dikkatli
cave,mağara
cease,dur
cemetery,mezarlık
certainty,kesinlik
certificate,sertifika
challenging,zorlu
chamber,bölme
championship,şampiyonluk
chaos,kaos
characterize,karakterize etmek
charm,cazibe
charming,alımlı
charter,tüzük
chase,takip etmek
cheek,yanak
cheer,tezahürat
choir,koro
chop,kesmek
chronic,kronik
chunk,yığın
circuit,devre
circulate,dolaşmak
circulation,sirkülasyon
citizenship,vatandaşlık
civic,sivil
civilian,sivil
civilization,medeniyet
clarify,açıklamak
clarity,netlik
clash,çarpışma
classification,sınıflandırma
classify,sınıflandırmak
cleaning,temizlik
clerk,katip
cliff,uçurum
cling,sarılmak
clinic,klinik
clinical,klinik
clip,klips
closure,kapatma
cluster,küme
coalition,koalisyon
coastal,kıyı
cocktail,kokteyl
cognitive,bilişsel
coincide,çakışmak
coincidence,tesadüf
collaborate,işbirliği yapmak
collaboration,işbirliği
collective,toplu
collector,kolektör
collision,çarpışma
colonial,sömürge
colony,koloni
colourful,renkli
columnist,köşe yazarı
combat,mücadele
comic,komik
commander,komutan
commence,başlamak
commentary,yorum
commentator,yorumcu
commerce,ticaret
commissioner,komiser
commodity,emtia
communist,komünist
companion,Arkadaş
comparable,karşılaştırılabilir
comparative,karşılaştırmalı
compassion,merhamet
compel,zorlamak
compelling,zorlayıcı
compensate,tazmin etmek
compensation,tazminat
competence,yeterlilik
competent,yetkili
compile,derlemek
complement,Tamamlayıcı
completion,tamamlama
complexity,karmaşıklık
compliance,uyma
complication,komplikasyon
comply,uymak
compose,oluşturmak
composer,besteci
composition,kompozisyon
compound,birleştirmek
comprehensive,kapsayıcı
comprise,içermek
compromise,anlaşmak
compulsory,zorunlu
compute,hesaplamak
conceal,gizlemek
concede,kabul etmek
conceive,gebe kalmak
conception,anlayış
concession,taviz
concrete,beton
condemn,kınamak
confer,görüşmek
confess,itiraf etmek
confession,itiraf
configuration,yapılandırma
confine,sınırlandırmak
confirmation,Onayla
confront,karşısına çıkmak
confrontation,çatışma
"confusion,""bilinç bulanıklığı, konfüzyon"""
congratulate,tebrik etmek
congregation,cemaat
congressional,kongre
conquer,fethetmek
conscience,vicdan
consciousness,bilinç
consecutive,ardışık
consensus,uzlaşma
consent,onay
consequently,sonuç olarak
conservation,koruma
conserve,korumak
considerable,hatırı sayılır
considerably,önemli ölçüde
consistency,tutarlılık
consistently,sürekli
consolidate,pekiştirmek
conspiracy,komplo
constituency,seçim bölgesi
constitute,oluşturmak
constitution,anayasa
constitutional,anayasal
constraint,kısıtlama
consult,danışmak
consultant,danışman
consultation,istişare
consumption,tüketim
contemplate,düşünmek
contempt,küçümseme
contend,tartışmak
contender,yarışmacı
content,içerik
contention,çekişme
continually,sürekli
contractor,müteahhit
contradiction,çelişki
contrary,aksine
contributor,katkıda bulunan
controversial,tartışmalı
controversy,tartışma
convenience,kolaylık
convention,ortak düşünce
conventional,geleneksel
conversion,dönüştürmek
convey,iletmek
convict,hükümlü
conviction,mahkumiyet
convincing,inandırıcı
cooperate,işbirliği yapmak
cooperative,kooperatif
coordinate,koordinat
coordination,Koordinasyon
coordinator,koordinatör
cop,polis
cope,başa çıkmak
copper,bakır
copyright,telif hakkı
corporation,şirket
correction,düzeltme
correlate,ilişkilendirmek
correlation,korelasyon
correspond,karşılık
correspondence,yazışma
correspondent,muhabir
corresponding,karşılık gelen
corridor,koridor
corrupt,yozlaşmış
corruption,yolsuzluk
costly,pahalı
councillor,meclis üyesi
counselling,danışmanlık
counsellor,danışman
counter,tezgah
counterpart,karşılık
countless,sayısız
coup,darbe
courtesy,nezaket
coverage,kapsama
crack,çatırtı
craft,zanaat
crawl,sürünmek
creativity,yaratıcılık
creator,yaratıcı
credibility,güvenilirlik
credible,güvenilir
creep,sürünme
critically,eleştirel olarak
critique,eleştiri
crown,taç
crude,ham
cruise,dolaşmak
crush,ezmek
crystal,kristal
cue,isteka
cult,kült
cultivate,yetiştirmek
curiosity,merak
curious,meraklı
curriculum,Müfredat
custody,velayet
cute,Sevimli
cutting,kesme
cynical,alaycı
dairy,günlük
dam,baraj
damaging,zarar verici
dare,cesaret etmek
darkness,karanlık
database,veri tabanı
dawn,şafak
deadline,son teslim tarihi
deadly,ölümcül
dealer,satıcı
debris,enkaz
debut,çıkış
decision-making,karar verme
decisive,belirleyici
deck,güverte
declaration,deklarasyon
dedicated,özel
dedication,özveri
deed,senet
deem,saymak
default,varsayılan
defect,kusur
defender,defans oyuncusu
defensive,defansif
deficiency,eksiklik
deficit,açık
defy,meydan okumak
delegate,temsilci
delegation,delegasyon
delete,silmek
delicate,narin
democracy,demokrasi
democratic,demokratik
demon,iblis
demonstration,gösteri
denial,inkar
